Date,MSCI ACWI with Developed Markets 100% Hedged to EUR 
2009-12-01,1016.9224037793458
2009-12-02,1020.1022343546955
2009-12-03,1019.6607583314238
2009-12-04,1024.7071128123039
2009-12-07,1023.6453009409202
2009-12-08,1013.7139244574655
2009-12-09,1010.4437778698281
2009-12-10,1015.0801251373736
2009-12-11,1021.1596063609469
2009-12-14,1027.4736846956157
2009-12-15,1025.1554767898347
2009-12-16,1029.9514407000554
2009-12-17,1019.708312157648
2009-12-18,1020.2833197142212
2009-12-21,1028.1186138646303
2009-12-22,1036.0627317628384
2009-12-23,1039.4696050591065
2009-12-24,1045.3853512169226
2009-12-25,1044.9467774446068
2009-12-28,1047.8863605099805
2009-12-29,1048.6442868725662
2009-12-30,1047.0344112227301
2009-12-31,1043.9612453490279
2010-01-01,1043.9533454449122
2010-01-04,1058.397613755502
2010-01-05,1062.8971757824954
2010-01-06,1066.048279247151
2010-01-07,1066.7918186602158
2010-01-08,1070.8387049085936
2010-01-11,1071.051199564497
2010-01-12,1063.622780131684
2010-01-13,1064.9579229224387
2010-01-14,1069.7749432028374
2010-01-15,1062.7844376834041
2010-01-18,1063.8524975801113
2010-01-19,1071.0340863106906
2010-01-20,1059.9758121037714
2010-01-21,1046.0143225425036
2010-01-22,1027.9523574975428
2010-01-25,1025.8848497075085
2010-01-26,1020.8554151578322
2010-01-27,1017.3342577203803
2010-01-28,1011.7386523128579
2010-01-29,1006.82262192848
2010-02-01,1015.7321305525194
2010-02-02,1026.6271206408476
2010-02-03,1025.5173885995773
2010-02-04,1000.2628186182768
2010-02-05,989.9759673389492
2010-02-08,986.228216557681
2010-02-09,994.7703938793359
2010-02-10,996.8419552515142
2010-02-11,1004.6848579130328
2010-02-12,1003.768131312512
2010-02-15,1004.0171436272122
2010-02-16,1016.1731199264718
2010-02-17,1026.7154026405778
2010-02-18,1031.5423473805927
2010-02-19,1032.2206587260318
2010-02-22,1034.3582765335482
2010-02-23,1025.071889512768
2010-02-24,1026.9941272221806
2010-02-25,1021.1888334573212
2010-02-26,1026.8069209775356
2010-03-01,1039.9763528257395
2010-03-02,1045.774827482115
2010-03-03,1048.4118531455122
2010-03-04,1049.2690376849196
2010-03-05,1063.7574693142399
